query_name,timestamp,ImpalaServer,PlanFragmentExecutor,Backend_src,Backend_des,Sender,ExchangeExecNode,time_elapsed
query,2.39324e+008,Server0,3,0,0,13,26,9.3107e-05
query,2.39324e+008,Server0,3,0,1,13,26,0.0
query,2.39324e+008,Server0,3,0,2,13,26,0.0
query,2.39324e+008,Server0,3,0,3,13,26,0.0
query,2.44189e+008,Server0,8,0,0,33,21,0.000155275
query,2.44189e+008,Server0,8,0,1,33,21,0.0
query,2.44189e+008,Server0,8,0,2,33,21,0.0
query,2.44189e+008,Server0,8,0,3,33,21,0.0
query,2.67843e+008,Server1,3,1,0,10,27,7.767e-06
query,2.67843e+008,Server1,3,1,1,10,27,0.0
query,2.67843e+008,Server1,3,1,2,10,27,0.0
query,2.67843e+008,Server1,3,1,3,10,27,0.0
query,2.74509e+008,Server1,8,1,0,30,22,8.054000000000001e-06
query,2.74509e+008,Server1,8,1,1,30,22,0.0
query,2.74509e+008,Server1,8,1,2,30,22,0.0
query,2.74509e+008,Server1,8,1,3,30,22,0.0
query,2.84377e+008,Server1,6,1,0,22,23,0.002789628
query,2.84377e+008,Server1,6,1,1,22,23,0.0
query,2.84377e+008,Server1,6,1,2,22,23,0.0
query,2.84377e+008,Server1,6,1,3,22,23,0.0
query,2.86736e+008,Server1,11,1,0,42,18,0.003054059
query,2.86736e+008,Server1,11,1,1,42,18,0.0
query,2.86736e+008,Server1,11,1,2,42,18,0.0
query,2.86736e+008,Server1,11,1,3,42,18,0.0
query,1.52022e+011,Server1,5,1,0,18,24,4.948e-05
query,1.52022e+011,Server1,5,1,1,18,24,4.948e-05
query,1.52022e+011,Server1,5,1,2,18,24,4.9099e-05
query,1.52022e+011,Server1,5,1,3,18,24,4.9099e-05
query,1.55943e+011,Server1,10,1,0,38,19,5.024e-05
query,1.55943e+011,Server1,10,1,1,38,19,5.024e-05
query,1.55943e+011,Server1,10,1,2,38,19,4.9853e-05
query,1.55943e+011,Server1,10,1,3,38,19,4.9853e-05
query,1.68301e+011,Server3,4,3,0,20,24,1.5986e-05
query,1.68301e+011,Server3,4,3,1,20,24,1.5605e-05
query,1.68301e+011,Server3,4,3,2,20,24,1.5605e-05
query,1.68301e+011,Server3,4,3,3,20,24,1.5605e-05
query,1.68304e+011,Server2,4,2,0,19,24,1.5986e-05
query,1.68304e+011,Server2,4,2,1,19,24,1.5605e-05
query,1.68304e+011,Server2,4,2,2,19,24,1.5605e-05
query,1.68304e+011,Server2,4,2,3,19,24,1.5605e-05
